market_volatility,debt_ratio,liquidity_ratio,revenue_growth,credit_score,risk_flag
0.254,0.231,0.885,0.1546,819,0
0.86,0.574,0.211,0.0226,535,1
0.6,0.763,0.427,-0.1916,424,1
0.284,0.422,0.803,0.2593,678,0
0.214,0.171,0.9,0.2851,652,0
0.72,0.689,0.457,-0.2135,604,1
0.976,0.792,0.482,-0.0689,569,1
0.073,0.142,0.82,0.1685,795,0
0.85,0.54,0.267,-0.0552,603,1
0.167,0.2,0.565,0.1931,722,0
0.331,0.322,0.905,0.1064,781,0
0.111,0.403,0.884,0.1914,702,0
0.928,0.737,0.181,-0.0851,470,1
0.286,0.122,0.542,0.1971,735,0
0.286,0.253,0.623,0.1759,739,0
0.752,0.819,0.311,-0.0985,511,1
0.217,0.417,0.594,0.1579,807,0
0.212,0.193,0.9,0.1291,769,0
0.272,0.341,0.667,0.1646,697,0
0.073,0.33,0.793,0.2274,797,0
0.194,0.361,0.856,0.2803,778,0
0.578,0.778,0.328,0.0074,494,1
0.094,0.286,0.926,0.0835,713,0
0.181,0.218,0.86,0.1402,706,0
0.16,0.294,0.588,0.1253,703,0
0.219,0.359,0.643,0.1685,726,0
0.633,0.765,0.399,-0.0279,441,1
0.916,0.827,0.355,-0.1455,483,1
0.109,0.123,0.556,0.1044,712,0
0.423,0.215,0.656,0.1801,729,0
0.713,0.66,0.355,-0.0109,583,1
0.858,0.612,0.235,-0.0477,458,1
0.612,0.681,0.48,-0.2154,528,1
0.19,0.114,0.895,0.295,663,0
0.713,0.59,0.213,0.0236,606,1
0.843,0.743,0.496,-0.065,476,1
0.693,0.687,0.202,-0.1681,588,1
0.417,0.302,0.826,0.151,770,0
0.65,0.55,0.419,0.0212,515,1
0.828,0.829,0.181,-0.1393,505,1
0.177,0.386,0.805,0.079,792,0
0.569,0.694,0.343,-0.0438,469,1
0.607,0.652,0.254,-0.1859,596,1
0.262,0.417,0.607,0.2716,685,0
0.845,0.904,0.434,-0.1166,538,1
0.424,0.417,0.73,0.2091,706,0
0.333,0.296,0.932,0.153,670,0
0.447,0.268,0.644,0.1262,676,0
0.742,0.882,0.19,-0.1418,491,1
0.894,0.86,0.167,-0.0109,450,1
0.223,0.301,0.735,0.0959,659,0
0.393,0.257,0.625,0.2087,763,0
0.943,0.57,0.362,-0.1826,593,1
0.757,0.627,0.19,-0.034,611,1
0.28,0.292,0.586,0.0871,724,0
0.194,0.133,0.627,0.1873,715,0
0.591,0.767,0.165,-0.0193,512,1
0.457,0.283,0.579,0.0798,720,0
0.65,0.618,0.158,-0.1734,502,1
0.152,0.211,0.84,0.2131,674,0
0.916,0.794,0.489,-0.093,449,1
0.553,0.585,0.341,-0.111,453,1
0.904,0.801,0.287,0.0205,482,1
0.453,0.279,0.906,0.2342,764,0
0.896,0.629,0.245,0.0312,451,1
0.755,0.803,0.273,-0.1857,526,1
0.687,0.907,0.164,0.0285,584,1
0.892,0.51,0.325,-0.2164,474,1
0.427,0.317,0.801,0.059,663,0
0.301,0.362,0.969,0.1945,661,0
0.26,0.355,0.939,0.2255,781,0
0.611,0.879,0.503,-0.1925,604,1
0.706,0.671,0.332,0.0327,550,1
0.069,0.129,0.67,0.1931,732,0
0.857,0.821,0.304,-0.1379,579,1
0.328,0.123,0.563,0.1735,721,0
0.878,0.564,0.456,-0.0395,618,1
0.404,0.338,0.961,0.1286,770,0
0.677,0.614,0.449,-0.0756,448,1
0.393,0.415,0.822,0.1522,736,0
0.606,0.513,0.188,-0.0258,573,1
0.074,0.345,0.814,0.0606,659,0
0.891,0.781,0.366,0.0116,477,1
0.467,0.343,0.811,0.1782,651,0
0.8,0.802,0.517,-0.016,443,1
0.977,0.842,0.497,-0.0898,612,1
0.127,0.153,0.592,0.271,662,0
0.31,0.39,0.835,0.0933,793,0
0.896,0.628,0.203,-0.1954,526,1
0.337,0.435,0.845,0.25,677,0
0.912,0.598,0.278,-0.0039,540,1
0.481,0.355,0.601,0.157,690,0
0.276,0.112,0.562,0.1293,812,0
0.403,0.368,0.874,0.2027,752,0
0.435,0.11,0.737,0.246,746,0
0.211,0.137,0.557,0.2469,778,0
0.745,0.524,0.369,-0.1801,477,1
0.851,0.71,0.158,-0.0884,467,1
0.618,0.568,0.312,-0.1883,473,1
0.958,0.672,0.492,-0.1573,593,1
0.421,0.248,0.552,0.1195,770,0
0.914,0.734,0.44,-0.1689,605,1
0.233,0.177,0.872,0.212,766,0
0.884,0.779,0.33,-0.0179,442,1
0.638,0.691,0.258,-0.1835,539,1
0.636,0.538,0.249,-0.1603,510,1
0.885,0.735,0.272,-0.1228,486,1
0.13,0.425,0.935,0.0863,679,0
0.072,0.421,0.662,0.2123,803,0
0.743,0.698,0.39,0.0123,585,1
0.794,0.623,0.505,-0.0642,443,1
0.35,0.128,0.545,0.0729,789,0
0.095,0.114,0.97,0.1771,790,0
0.979,0.733,0.333,-0.048,466,1
0.233,0.366,0.918,0.2249,776,0
0.748,0.683,0.367,-0.1518,541,1
0.154,0.368,0.876,0.2865,774,0
0.833,0.858,0.365,-0.1881,570,1
0.352,0.238,0.757,0.2065,758,0
0.759,0.537,0.394,-0.1878,433,1
